Course ID,Title,Description
1001,clean-IT: Towards Sustainable Digital Technologies,"Digitalization is a game changer in the pursuit of a sustainable future. The latest digital technologies and applications like cloud, AI, and mobile devices enable us to achieve the Sustainable Development Goals and reduce carbon emissions in many sectors. Yet computer systems themselves have an immense energy requirement for their countless devices, data centers, applications and global networks. To effectively reduce the carbon footprint of digitalization, it is necessary to apply algorithmic efficiency and sustainability by design as guiding principles in digital engineering. The clean-IT Forum is the international platform to exchange ideas, recent research findings and applications to make digital technologies more energy-efficient."
1002,HPI Academy: Strategic Design Thinking For Every Day - Winter 2021,"This is an online course for everyone who wants to use Strategic Design Thinking for everyday challenges. You learn to use the whole potential of the approach, going beyond the method and the tools. Equip yourself with the most impactful Design Thinking principles to unlock your innovation capacity in complex, highly constrained situations.
Register now for the upcoming course starting October 08, 2021. Registration closes October 01, 2021.
This online training experience is provided by the HPI Academy."
1003,Algorithmen und Datenstrukturen mit Detektiv Duke,"Du hast bereits den Java-Kurs auf openHPI gemacht und die Einführung in Collections war dir zu schnell oder nicht detailliert genug? Du willst Datenstrukturen in Java besser kennenlernen? Du wolltest immer schon mal wissen, was eigentlich Iteratoren sind und welche Vorteile diese gegenüber von Schleifen haben? Welche Datenstrukturen für welche Anwendungsfälle schneller oder besser geeignet sind?
Auch Duke und seinen neuen Freund Big O beschäftigen diese Fragen in ihrem aktuellen Fall und sie brauchen wieder mal Deine Hilfe! Begleite Duke und seine Freunde auf ihrer spannenden Reise durch die wunderbare Welt der Algorithmen und Datenstrukturen in Java. Spoiler: mehr Drama, mehr Action und höchstens ein Papagei."
1004,Digital Future Literacy - Fit für die digitale Zukunft,"Im Zuge der Digitalisierung müssen sich viele heute im Erwerbsleben stehende Menschen beruflich weiterqualifizieren. Zunehmend gebraucht werden nicht nur technologische Fähigkeiten wie Umgang mit Software oder Programmierung, sondern die neuen digitalen Geschäfts- und Arbeitsprozesse erfordern verstärkt digitale und nicht-digitale Schlüsselfähigkeiten (digital future literacy). Dazu zählen u.a. Data Literacy, Kollaboration, digitales Lernen, Problemlösungsfähigkeit, Vorausschau und unternehmerisches Denken. In diesem Kurs wollen wir gemeinsam mit Ihnen die Herausforderungen der digitalen Zukunft reflektieren und Ihnen eine Toolbox unterschiedlicher Instrumente an die Hand geben, damit Sie sich dort bestmöglich zurechtfinden."
1005,Design Thinking 4.0 – The Cultural Dimension of Digital Transformation,"Design Thinking is an innovation approach, which evolved through the past 12 years from a university program at Stanford and HPI Potsdam to a globally respected and universally applied set of methods and tools for supporting and driving change towards a networked culture in organizations. The course is an introduction to the core principles of Design Thinking, explains its cultural impact and inspires to actively use Design Thinking at the organizational level.
The course is valuable for decision makers, who want to get an idea about the strategic underpinnings of design thinking. They will learn the terminology and get a better understanding, why and how to use Design Thinking to make the transformation towards a networked organization.
The course is not a substitute for a real design thinking-workshop, which will give - at its best - the deep and diverse team experience in a creative environment to the participants. But it helps, to get a better understanding of the core concepts behind Design Thinking and supports the development of their transformational strategy."
1006,Zum Web-Profi in drei Schritten - Prüfung,"In diesem Prüfungskurs können Sie Ihr Wissen zum Thema Webtechnologien unter Beweis stellen. Die Fragen umfassen sowohl Basiswissen zum World Wide Web als auch Fragen zu bekannten Web-Anwendungen wie der Google Suche oder Online-Zahlungsmechanismen. Darüber hinaus gibt es einen praktischen Prüfungsteil (Peer Assessment), in dem Sie Ihre Fähigkeiten in der Web-Programmierung zeigen können. Wir wünschen Ihnen schon jetzt viel Erfolg!
Information: Um an der Prüfung teilzunehmen, müssen Sie folgende Zulassungsvoraussetzungen erfüllt haben:
Teilnahme an den 3 Workshops Wie das Web technisch funktioniert, Programmieren fürs Web, Wegweisende Anwendungen im Web
Nachweis einer Teilnahmebestätigung an jedem der drei Workshops (Zugriff auf mindestens 80% des Lernmaterials)
Die Teilnahme an den Wochenaufgaben in den einzelnen Kursen ist für diese Prüfung nicht relevant."
1007,Connected Healthcare: Gesundheitsdaten im Alltag erfassen und analysieren,"Wir kennen sie bereits aus unserem Alltag: Fitnessarmbänder und Apps, die uns dabei unterstützen, gesünder zu leben und unsere persönlichen Gesundheitsdaten im Blick zu behalten.
Der Kurs ""Connected Healthcare"" beschäftigt sich mit dem Erfassen und der Analyse von gesundheits-relevanten Daten aus dem täglichen Leben. Teilnehmende lernen die Grundlagen für die Mitgestaltung eines zukünftigen Gesundheitswesens kennen, in dessen Mittelpunkt das Erreichen einer gesunden Lebensweise steht. Diskutieren Sie mit uns, inwiefern Connected Healthcare unser bisheriges zentrales Gesundheitssystem verändern, unterstützen und verbessern kann."
1008,Research Talks at HPI,"In this new offer ""Research Talks"" you will find high-level Tech Talks from HPI's researchers and well-known guests who visited HPI for a colloquium or conference. Unlike the other openHPI courses, Research Talks is a pure lecture series (without exam and certificate)."
1009,Wegweisende Anwendungen im Web,"Das World Wide Web (kurz WWW) hat unser Zusammenleben revolutioniert. Viele Menschen nutzen den Begriff, der die wohl wichtigste Anwendung im Internet beschreibt, sogar synonym für Internet – so fest ist es in unserem Sprachgebrauch inzwischen verankert.
Im dritten Teil unserer Kursreihe werfen wir einen Blick auf wegweisende Anwendungen im Web. Viele von uns nutzen regelmäßig die Google Suchmaschine, kaufen online ein oder lernen im Web, z.B. auf openHPI. Wie diese Anwendungen im Einzelnen funktionieren und welches Geschäftsmodell sie verfolgen, erfahren Sie in diesem Kurs."
1010,Künstliche Intelligenz und Maschinelles Lernen in der Praxis,"Alle reden über “Maschinelles Lernen”, ""Neuronale Netze"", ""Künstliche Intelligenz"" und ""Deep Learning - doch wie diese Techniken genau in der Praxis funktionieren und eingesetzt werden, erfahren Sie in diesem weiterführenden openHPI Kurs.
In diesem vierwöchigen Gratis-Kurs können Jugendliche und andere Interessierte ohne Programmier-Erfahrung und technisches Hintergrundwissen lernen, wie Machine Learning Projekte in der Praxis umgesetzt werden können. Wir wollen dabei das Basiswissen aus dem Kurs “Künstliche Intelligenz und Maschinelles Lernen für Einsteiger” weiter vertiefen und Ihnen ein Gefühl für die Chancen und Herausforderungen von Machine Learning Projekten in der Praxis vermitteln. Dafür betrachten wir mehrere konkrete Anwendungsfälle - unter anderem die Erkennung von Gebärdensprache aus Bildern und die Stimmungsanalyse von Zeitungsartikeln. Geleitet wird der Kurs von den Masterstudenten Johannes Hötter und Christian Warmuth."
